actual,predicted,residual,home,away
2,2.3738194162442117,-0.37381941624421167,Rabbitohs,Dolphins
-8,-9.073220441106749,1.0732204411067485,Dragons,Bulldogs
30,28.281119400089604,1.7188805999103955,Sea Eagles,Cowboys
38,33.93470857594024,4.065291424059758,Storm,Eels
14,18.12586401567498,-4.125864015674981,Knights,Dolphins
20,5.484177011483868,14.515822988516131,Warriors,Sea Eagles
-6,-5.396571318274305,-0.6034286817256946,Panthers,Roosters
-1,12.559384405213013,-13.559384405213013,Dragons,Rabbitohs
-24,-26.334980223547497,2.334980223547497,Cowboys,Sharks
10,5.489557303919781,4.510442696080219,Raiders,Broncos
-26,-23.070524680849466,-2.9294753191505336,Eels,Tigers
16,11.448542059884725,4.5514579401152755,Bulldogs,Titans
6,-13.878603750317351,19.878603750317353,Storm,Panthers
8,2.0606260440539406,5.93937395594606,Warriors,Roosters
10,8.6024216109946,1.3975783890053997,Broncos,Cowboys
15,20.79388437824012,-5.793884378240119,Sharks,Rabbitohs
-12,-17.17519015048255,5.17519015048255,Dolphins,Tigers
20,12.992603987145587,7.007396012854413,Titans,Knights
-8,-9.42199990390796,1.4219999039079596,Eels,Bulldogs
28,21.739288132165097,6.260711867834903,Sea Eagles,Raiders
10,16.23341996094683,-6.233419960946829,Rabbitohs,Panthers
-18,-3.9210622089300746,-14.078937791069926,Roosters,Titans
-8,-13.3303347381387,5.330334738138699,Dolphins,Broncos
6,-1.6967753990937964,7.696775399093797,Dragons,Storm
10,6.390332410236347,3.609667589763653,Cowboys,Raiders
-14,-16.44666886103177,2.446668861031771,Sharks,Bulldogs
14,27.06309634600357,-13.063096346003569,Sea Eagles,Eels
-2,-9.999194247299764,7.999194247299764,Tigers,Warriors
4,2.4321632767231414,1.5678367232768586,Raiders,Sharks
-4,7.998976150979046,-11.998976150979047,Panthers,Cowboys
6,-0.19227041152883362,6.192270411528834,Rabbitohs,Roosters
1,0.3501367384169116,0.6498632615830884,Eels,Dragons
-26,-21.83334150806904,-4.16665849193096,Titans,Dolphins
22,2.6208539036540506,19.37914609634595,Broncos,Tigers
-24,-8.89029984408861,-15.10970015591139,Sea Eagles,Storm
20,19.22861767641444,0.7713823235855592,Bulldogs,Knights
18,0.10458554176533363,17.895414458234665,Dolphins,Panthers
22,15.19210509081408,6.80789490918592,Dragons,Titans
-10,-1.2738160081117833,-8.726183991888217,Broncos,Roosters
6,2.533035522515654,3.466964477484346,Sharks,Sea Eagles
-8,-11.516981473567657,3.5169814735676574,Rabbitohs,Cowboys
-38,-31.75641835422019,-6.243581645779809,Eels,Raiders
28,24.305661064758244,3.694338935241756,Storm,Warriors
-16,-18.051460251042506,2.0514602510425064,Knights,Tigers
